Accuracy Gene,Completeness Genus,Completeness Phylum,Homogeneity Genus,Homogeneity Phylum,Index,MCC Gene,Memory Indexing,Memory Searching,Sensitivity Gene,Specificity Gene,Time Indexing,Time Searching,Time Searching Kmeans,Time Training Kmeans,V-Measure Genus,V-Measure Phylum
0.353465208,0.586435118,0.041674745,0.601907753,0.027160462,Flat,0.340449685,1357139918,58713126,0.928571429,0.937007874,0.924128771,35.50436163,0.299596548,160.4756596,0.594070706,0.032887396
0.353465208,0.586435118,0.041674745,0.601907753,0.027160462,Flat,0.340449685,1357139918,58711991,0.928571429,0.937007874,0.924128771,34.94666171,0.291619301,158.7818866,0.594070706,0.032887396
0.353465208,0.586435118,0.041674745,0.601907753,0.027160462,Flat,0.340449685,1357139918,58713117,0.928571429,0.937007874,0.924128771,34.91047525,0.272633791,162.8641865,0.594070706,0.032887396
0.353465208,0.586435118,0.041674745,0.601907753,0.027160462,Flat,0.340449685,1357139918,58713399,0.928571429,0.937007874,0.924128771,34.93583965,0.272583485,160.1612554,0.594070706,0.032887396
0.353465208,0.586435118,0.041674745,0.601907753,0.027160462,Flat,0.340449685,1357139918,58713398,0.928571429,0.937007874,0.924128771,35.38477373,0.324739695,158.3239837,0.594070706,0.032887396
0.353465208,0.586435118,0.041674745,0.601907753,0.027160462,Flat,0.340449685,1357139918,58711991,0.928571429,0.937007874,0.924128771,35.11106706,0.31761384,157.9284911,0.594070706,0.032887396
0.353465208,0.586435118,0.041674745,0.601907753,0.027160462,Flat,0.340449685,1357139918,58711671,0.928571429,0.937007874,0.924128771,34.51006246,0.247606039,160.4089887,0.594070706,0.032887396
0.353465208,0.586435118,0.041674745,0.601907753,0.027160462,Flat,0.340449685,1357139918,58711991,0.928571429,0.937007874,0.924128771,35.06578732,0.256585121,160.3934505,0.594070706,0.032887396
0.353465208,0.586435118,0.041674745,0.601907753,0.027160462,Flat,0.340449685,1357139918,58711991,0.928571429,0.937007874,0.924128771,34.52145243,0.257606268,160.011188,0.594070706,0.032887396
0.309483726,0.586435118,0.041674745,0.601907753,0.027160462,"PCA64,Flat",0.295491288,678508623,58713123,0.904109589,0.924528302,8.005434752,7.677503109,0.250062943,159.1699507,0.594070706,0.032887396
0.309483726,0.586435118,0.041674745,0.601907753,0.027160462,"PCA64,Flat",0.295491288,678508623,58713398,0.904109589,0.924528302,8.005434752,8.061669111,0.284082174,160.99402,0.594070706,0.032887396
0.309483726,0.586435118,0.041674745,0.601907753,0.027160462,"PCA64,Flat",0.295491288,678508623,58713399,0.904109589,0.924528302,8.005434752,7.391283274,0.267592192,161.3672092,0.594070706,0.032887396
0.309483726,0.586435118,0.041674745,0.601907753,0.027160462,"PCA64,Flat",0.295491288,678508623,58711991,0.904109589,0.924528302,8.005434752,7.997453928,0.257590771,159.6669433,0.594070706,0.032887396
0.309483726,0.586435118,0.041674745,0.601907753,0.027160462,"PCA64,Flat",0.295491288,678508623,58713399,0.904109589,0.924528302,8.005434752,7.709012508,0.314683437,158.4310811,0.594070706,0.032887396
0.309483726,0.586435118,0.041674745,0.601907753,0.027160462,"PCA64,Flat",0.295491288,678508623,58711991,0.904109589,0.924528302,8.005434752,8.179262161,0.264098644,160.7387977,0.594070706,0.032887396
0.309483726,0.586435118,0.041674745,0.601907753,0.027160462,"PCA64,Flat",0.295491288,678508623,58713398,0.904109589,0.924528302,8.005434752,7.570667982,0.282586575,158.2396045,0.594070706,0.032887396
0.309483726,0.586435118,0.041674745,0.601907753,0.027160462,"PCA64,Flat",0.295491288,678508623,58713399,0.904109589,0.924528302,8.005434752,8.367498398,0.257082939,163.7363822,0.594070706,0.032887396
0.309483726,0.586435118,0.041674745,0.601907753,0.027160462,"PCA64,Flat",0.295491288,678508623,58713398,0.904109589,0.924528302,8.005434752,8.050846577,0.274605989,158.5228415,0.594070706,0.032887396
0.309483726,0.586435118,0.041674745,0.601907753,0.027160462,"PCAR64,Flat",0.295491288,678508623,58713124,0.904109589,0.924528302,8.271468878,7.429374218,0.257078886,159.6982017,0.594070706,0.032887396
